station_name,label
ABANDO,0
AMETZOLA,1
ANSELMO CLAVE,3
ARANGOIT,1
ARANGOITI,1
AREILTZA,2
ARRIAGA,0
ASKATASUNA,1
ASTILLERO,1
AYUNTAMIENTO,1
BASARRATE,1
BLAS OTERO,0
BOLUETA,2
CORAZÓN MARIA,1
EGAÑA,2
EGUILLOR,3
EPALZA,1
ESKURTZE,1
ESTRADA CALEROS,1
ETXEBARRIA,1
GABRIEL ARESTI,1
HEROS,0
IBAIZABAL,1
INDAUTXU,0
KARMELO,1
LEIZAOLA,0
LEVANTE,1
MERCADO RIBERA,0
MOYUA,3
OLABEAGA,1
OTXARKOAGA,1
PLAZA ENCARNACIÓN,1
POLIDEPORTIVO ZORROZA,2
RAMÓN RUBIAL,3
REKALDE,1
SABINO ARANA,2
SAN NICOLAS,0
SAN PEDRO,0
SARRIKO,1
TERMIBUS,3
ZORROZAURRE,2
